,학교명,위도,경도,학교도로명 주소,폐교여부
273,샛별초등학교,36.6087722,127.4716722,충청북도 청주시 서원구 원흥로 24,N
274,비봉초등학교,36.7130081,127.4135475,충청북도 청주시 청원구 오창읍 구룡2길 10,N
275,장야초등학교,36.29655,127.579985,충청북도 옥천군 옥천읍 장야3길 25,N
276,성화초등학교,36.616031,127.455015,충청북도 청주시 서원구 신화로 22,N
277,국원초등학교,36.981083,127.944178,충청북도 충주시 국원초1길 47,N
278,서현초등학교,36.6195474803,127.429948572,충청북도 청주시 흥덕구 서현중로 7,N
279,직지초등학교,36.6399282,127.4379232,충청북도 청주시 흥덕구 공단로99번길 22,N
280,솔밭초등학교,36.641452,127.426292,충청북도 청주시 흥덕구 대농로 42,N
281,동성초등학교,36.9130216,127.5441132,충청북도 음성군 맹동면 학예로 50,N
282,양청초등학교,36.6649344,127.4601472,충청북도 청주시 청원구 오창읍 양청리,N
283,창리초등학교,36.736652,127.4493161,충청북도 청주시 청원구 2산단2로 32,N
284,청주소로초등학교,36.672427,127.390317,충청북도 청주시 흥덕구 옥산면 오송가락로 1020,N
285,청주내곡초등학교,36.667208,127.457277,충청북도 청주시 흥덕구 송화로214번길 30,N
286,진천상신초등학교,36.903744,127.541112,충청북도 진천군 덕산읍 대월로 107,N
287,단재초등학교,36.59953,127.50016,충청북도 청주시 상당구 단재로 350,N
288,충주중앙탑초등학교,37.016628,127.831368,충청북도 충주시 중앙탑면 원앙4길 52,N
289,생명초등학교,36.711987,127.438795,충청북도 청주시 청원구 오창읍 중부로 772,N
290,충주대소원초등학교,36.988899,127.827406,충청북도 충주시 대소원면 첨단산업4로 48,N
291,오송솔미초등학교,,,충청북도 청주시 흥덕구 오송읍 오송생명12로 83,N
292,충주남한강초등학교,36.9551487443,127.9292537183,충청북도 충주시 호암수청2로 55,N
293,용아초등학교,36.618207,127.522274,충청북도 청주시 상당구 중고개로142번길 32-15,N
294,용원초등학교동락분교장,37.00321,127.68671,충청북도 충주시 신니면 신덕로 301,N
295,영춘초등학교별방분교장,37.096424,128.4159272,충청북도 단양군 영춘면 별방창원로 449,N
296,판동초등학교송죽분교장,36.4,127.7,충청북도 보은군 삼승면 남부로 3927,N
